## Tue Dec 10 21:51:34 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_mg7s3_zk --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_mg7s3_zk --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_mg7s3_zk/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
BDA39172.1	1527444.ucyna2_00810	2.58e-113	325.0	COG1290@1|root,COG1290@2|Bacteria,1G0PR@1117|Cyanobacteria	1117|Cyanobacteria	C	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions	petD	GO:0005575,GO:0005622,GO:0005623,GO:0009512,GO:0009579,GO:0032991,GO:0044424,GO:0044436,GO:0044464,GO:0070069	-	ko:K02637	ko00195,ko01100,map00195,map01100	M00162	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	Cytochrom_B_C
BDA39173.1	1527444.ucyna2_00809	0.0	963.0	COG0007@1|root,COG1587@1|root,COG0007@2|Bacteria,COG1587@2|Bacteria,1G1Y4@1117|Cyanobacteria	1117|Cyanobacteria	H	Uroporphyrinogen-III synthase	hemD	-	2.1.1.107,4.2.1.75	ko:K01719,ko:K13542	ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120	M00121	R03165,R03194	RC00003,RC00871,RC01861	ko00000,ko00001,ko00002,ko01000	-	-	iJN678.hemD	HEM4,TP_methylase
BDA39174.1	1527444.ucyna2_00808	1.61e-93	272.0	COG0720@1|root,COG0720@2|Bacteria,1G6J4@1117|Cyanobacteria	1117|Cyanobacteria	H	PFAM 6-pyruvoyl tetrahydropterin synthase	-	-	4.1.2.50,4.2.3.12	ko:K01737	ko00790,ko01100,map00790,map01100	M00842,M00843	R04286,R09959	RC01117,RC02846,RC02847	ko00000,ko00001,ko00002,ko01000,ko03016	-	-	-	PTPS
BDA39175.1	1527444.ucyna2_00805	0.0	874.0	COG1253@1|root,COG1253@2|Bacteria,1G1AQ@1117|Cyanobacteria	1117|Cyanobacteria	S	PFAM CBS domain	-	-	-	ko:K03699	-	-	-	-	ko00000,ko02042	-	-	-	CBS,CorC_HlyC,DUF21
BDA39176.1	1527444.ucyna2_00804	1.81e-147	416.0	28TB6@1|root,2ZFJQ@2|Bacteria,1G68M@1117|Cyanobacteria	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BDA39177.1	1527444.ucyna2_00802	1.27e-158	445.0	COG0120@1|root,COG0120@2|Bacteria,1G2DW@1117|Cyanobacteria	1117|Cyanobacteria	G	Catalyzes the reversible conversion of ribose-5- phosphate to ribulose 5-phosphate	rpiA	GO:0003674,GO:0003824,GO:0004751,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006014,GO:0006081,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009052,GO:0009117,GO:0009987,GO:0016853,GO:0016860,GO:0016861,GO:0019321,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046496,GO:0051156,GO:0051186,GO:0055086,GO:0071704,GO:0072524,GO:1901135,GO:1901360,GO:1901564	5.3.1.6	ko:K01807	ko00030,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007,M00165,M00167,M00580	R01056	RC00434	ko00000,ko00001,ko00002,ko01000	-	-	iJN678.rpiA	Rib_5-P_isom_A
BDA39178.1	1527444.ucyna2_00801	1.07e-98	287.0	COG0724@1|root,COG0724@2|Bacteria,1G6ME@1117|Cyanobacteria	1117|Cyanobacteria	S	PFAM RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	rbp3	-	-	-	-	-	-	-	-	-	-	-	RRM_1
BDA39179.1	1527444.ucyna2_00800	7.7e-227	625.0	COG0181@1|root,COG0181@2|Bacteria,1G213@1117|Cyanobacteria	1117|Cyanobacteria	H	Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps	hemC	GO:0003674,GO:0003824,GO:0004418,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016740,GO:0016765,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.5.1.61	ko:K01749	ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120	M00121	R00084	RC02317	ko00000,ko00001,ko00002,ko01000	-	-	-	Porphobil_deam,Porphobil_deamC
BDA39180.1	1527444.ucyna2_00799	1.83e-72	218.0	COG0718@1|root,COG0718@2|Bacteria,1G6TX@1117|Cyanobacteria	1117|Cyanobacteria	S	Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection	-	-	-	ko:K09747	-	-	-	-	ko00000	-	-	-	YbaB_DNA_bd
BDA39181.1	1527444.ucyna2_00798	1.51e-99	288.0	2AR5R@1|root,31GFC@2|Bacteria,1G6N2@1117|Cyanobacteria	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BDA39182.1	1527444.ucyna2_00797	5.67e-56	176.0	2FBGB@1|root,343MP@2|Bacteria,1GFPT@1117|Cyanobacteria	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BDA39183.1	1527444.ucyna2_00796	0.0	1427.0	COG0457@1|root,COG0741@1|root,COG0457@2|Bacteria,COG0741@2|Bacteria,1G1HC@1117|Cyanobacteria	1117|Cyanobacteria	M	Soluble lytic murein	slt	-	-	ko:K08309	-	-	-	-	ko00000,ko01000,ko01011	-	GH23	-	SLT,TPR_16,TPR_6
BDA39184.1	1527444.ucyna2_00795	0.0	1191.0	COG3659@1|root,COG3659@2|Bacteria,1G0DE@1117|Cyanobacteria	1117|Cyanobacteria	M	Belongs to the OprB family	-	-	-	-	-	-	-	-	-	-	-	-	OprB,SLH
BDA39185.1	1527444.ucyna2_00794	0.0	1182.0	COG0465@1|root,COG0465@2|Bacteria,1G1BT@1117|Cyanobacteria	1117|Cyanobacteria	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins	ftsH2	GO:0003674,GO:0003824,GO:0004176,GO:0006091,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009056,GO:0009057,GO:0009314,GO:0009416,GO:0009628,GO:0009642,GO:0009644,GO:0009765,GO:0009892,GO:0009987,GO:0010109,GO:0010205,GO:0010206,GO:0010304,GO:0015979,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019222,GO:0019538,GO:0019684,GO:0030091,GO:0030163,GO:0031323,GO:0031324,GO:0042548,GO:0042623,GO:0043155,GO:0043170,GO:0043467,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0065007,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1905156	-	ko:K03798	-	M00742	-	-	ko00000,ko00002,ko01000,ko01002,ko03110	-	-	-	AAA,FtsH_ext,Peptidase_M41
BDA39186.1	1527444.ucyna2_00793	1.01e-57	179.0	COG0762@1|root,COG0762@2|Bacteria,1G95C@1117|Cyanobacteria	1117|Cyanobacteria	S	YGGT family	ycf19	-	-	ko:K02221	-	-	-	-	ko00000,ko02044	-	-	-	YGGT
BDA39187.1	1527444.ucyna2_00792	0.0	1078.0	COG1132@1|root,COG1132@2|Bacteria,1G0Z0@1117|Cyanobacteria	1117|Cyanobacteria	V	ABC-type multidrug transport system ATPase and permease	-	-	-	ko:K18889	ko02010,map02010	M00707	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.106.13,3.A.1.106.5	-	-	ABC_membrane,ABC_tran
BDA39188.1	1527444.ucyna2_00791	0.0	1183.0	COG0155@1|root,COG0155@2|Bacteria,1G21X@1117|Cyanobacteria	1117|Cyanobacteria	C	Belongs to the nitrite and sulfite reductase 4Fe-4S domain family	sir	GO:0003674,GO:0003824,GO:0006790,GO:0008150,GO:0008152,GO:0009987,GO:0016002,GO:0016491,GO:0016667,GO:0016673,GO:0019419,GO:0044237,GO:0050311,GO:0055114	1.8.7.1	ko:K00392	ko00920,ko01100,ko01120,map00920,map01100,map01120	M00176	R00859,R03600	RC00065	ko00000,ko00001,ko00002,ko01000	-	-	-	NIR_SIR,NIR_SIR_ferr
BDA39189.1	1527444.ucyna2_00790	3.18e-287	789.0	COG2239@1|root,COG2239@2|Bacteria,1G0CN@1117|Cyanobacteria	1117|Cyanobacteria	P	Acts as a magnesium transporter	mgtE	-	-	ko:K06213	-	-	-	-	ko00000,ko02000	1.A.26.1	-	-	CBS,MgtE,MgtE_N
BDA39190.1	1527444.ucyna2_00789	5.53e-266	728.0	COG0082@1|root,COG0082@2|Bacteria,1G12S@1117|Cyanobacteria	1117|Cyanobacteria	E	Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system	aroC	GO:0000166,GO:0003674,GO:0003824,GO:0004107,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009423,GO:0009987,GO:0010181,GO:0016053,GO:0016829,GO:0016835,GO:0016838,GO:0019438,GO:0019752,GO:0032553,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	4.2.3.5	ko:K01736	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R01714	RC00586	ko00000,ko00001,ko00002,ko01000	-	-	iJN678.aroC	Chorismate_synt
BDA39191.1	1527444.ucyna2_00788	4.94e-44	142.0	COG3536@1|root,COG3536@2|Bacteria,1G8Y9@1117|Cyanobacteria	1117|Cyanobacteria	S	InterPro IPR019678	-	-	-	-	-	-	-	-	-	-	-	-	DUF2555
BDA39192.1	1527444.ucyna2_00787	1.81e-55	173.0	2E3BM@1|root,32YB3@2|Bacteria,1G9FT@1117|Cyanobacteria	1117|Cyanobacteria	S	Belongs to the UPF0367 family	-	-	-	-	-	-	-	-	-	-	-	-	-
BDA39193.1	1527444.ucyna2_00786	8.72e-155	434.0	COG0566@1|root,COG0566@2|Bacteria,1G05W@1117|Cyanobacteria	1117|Cyanobacteria	J	Catalyzes the 2'-O methylation of guanosine at position 18 in tRNA	trmH	-	2.1.1.34	ko:K00556	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	SpoU_methylas_C,SpoU_methylase
BDA39194.1	1527444.ucyna2_00785	2.98e-309	841.0	COG0436@1|root,COG0436@2|Bacteria,1G0NC@1117|Cyanobacteria	1117|Cyanobacteria	E	Involved in the synthesis of meso-diaminopimelate (m-DAP or DL-DAP), required for both lysine and peptidoglycan biosynthesis. Catalyzes the direct conversion of tetrahydrodipicolinate to LL-diaminopimelate	dapL	-	2.6.1.83	ko:K10206	ko00300,ko01100,ko01110,ko01130,ko01230,map00300,map01100,map01110,map01130,map01230	M00527	R07613	RC00006,RC01847	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_1_2
BDA39195.1	1527444.ucyna2_00784	5.59e-184	512.0	28NIP@1|root,2ZBK0@2|Bacteria,1G5CP@1117|Cyanobacteria	1117|Cyanobacteria	S	Protein of unknown function (DUF3153)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3153
BDA39196.1	1527444.ucyna2_00783	0.0	1486.0	COG0557@1|root,COG0557@2|Bacteria,1G19X@1117|Cyanobacteria	1117|Cyanobacteria	K	VacB and RNase II family 3'-5'	zam	-	-	ko:K12573	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03016,ko03019	-	-	-	OB_RNB,RNB,S1
BDA39197.1	1527444.ucyna2_00782	1.33e-228	629.0	COG0037@1|root,COG0037@2|Bacteria,1G11T@1117|Cyanobacteria	1117|Cyanobacteria	J	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine	tilS	-	6.3.4.19	ko:K04075	-	-	R09597	RC02633,RC02634	ko00000,ko01000,ko03016	-	-	-	ATP_bind_3,TilS
BDA39198.1	1527444.ucyna2_00781	2.58e-227	626.0	COG0755@1|root,COG0755@2|Bacteria,1G0R6@1117|Cyanobacteria	1117|Cyanobacteria	O	Required during biogenesis of c-type cytochromes (cytochrome c6 and cytochrome f) at the step of heme attachment	ccsA	GO:0006810,GO:0008150,GO:0008152,GO:0015886,GO:0051179,GO:0051181,GO:0051234,GO:0055114,GO:0071702,GO:0071705,GO:1901678	-	-	-	-	-	-	-	-	-	-	Cytochrom_C_asm
BDA39199.1	1527444.ucyna2_00780	5.78e-246	676.0	COG2255@1|root,COG2255@2|Bacteria,1G1CN@1117|Cyanobacteria	1117|Cyanobacteria	L	The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing	ruvB	-	3.6.4.12	ko:K03551	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	RuvB_C,RuvB_N
BDA39200.1	1527444.ucyna2_00779	2.39e-227	625.0	COG0859@1|root,COG0859@2|Bacteria,1G0KB@1117|Cyanobacteria	1117|Cyanobacteria	M	PFAM Glycosyltransferase family 9 (heptosyltransferase)	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_9
BDA39201.1	1527444.ucyna2_00778	2.35e-139	394.0	COG1057@1|root,COG1057@2|Bacteria,1G3FS@1117|Cyanobacteria	1117|Cyanobacteria	H	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)	nadD	GO:0000309,GO:0003674,GO:0003824,GO:0004515,GO:0006082,GO:0006139,GO:0006520,GO:0006531,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009066,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019355,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0019752,GO:0034627,GO:0034628,GO:0034641,GO:0034654,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046483,GO:0046496,GO:0051186,GO:0051188,GO:0055086,GO:0070566,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605	2.7.7.18	ko:K00969	ko00760,ko01100,map00760,map01100	M00115	R00137,R03005	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	CTP_transf_like
BDA39202.1	1527444.ucyna2_00777	0.0	1117.0	COG0171@1|root,COG0388@1|root,COG0171@2|Bacteria,COG0388@2|Bacteria,1G1DF@1117|Cyanobacteria	1117|Cyanobacteria	H	Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source	nadE	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008795,GO:0009058,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016874,GO:0016879,GO:0016880,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0046496,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	6.3.1.5,6.3.5.1	ko:K01916,ko:K01950	ko00760,ko01100,map00760,map01100	M00115	R00189,R00257	RC00010,RC00100	ko00000,ko00001,ko00002,ko01000	-	-	-	CN_hydrolase,NAD_synthase
BDA39203.1	1527444.ucyna2_00776	1.28e-226	623.0	COG1619@1|root,COG1619@2|Bacteria,1G06K@1117|Cyanobacteria	1117|Cyanobacteria	V	Microcin C7 resistance	ldcA	-	3.4.17.13	ko:K01297	-	-	-	-	ko00000,ko01000,ko01002,ko01011	-	-	-	Peptidase_S66
BDA39204.1	1527444.ucyna2_00775	5.49e-237	651.0	COG0451@1|root,COG0451@2|Bacteria,1G2DP@1117|Cyanobacteria	1117|Cyanobacteria	M	PFAM NAD dependent epimerase dehydratase family	dfrA	-	1.1.1.219	ko:K00091	-	-	-	-	ko00000,ko01000	-	-	-	Epimerase
BDA39205.1	1527444.ucyna2_00774	1.5e-165	462.0	COG0336@1|root,COG0336@2|Bacteria,1G0C1@1117|Cyanobacteria	1117|Cyanobacteria	J	Belongs to the RNA methyltransferase TrmD family	trmD	GO:0001510,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008757,GO:0009019,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016423,GO:0016740,GO:0016741,GO:0016772,GO:0016779,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050518,GO:0070567,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360	2.1.1.228,4.6.1.12	ko:K00554,ko:K01770	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R00597,R05637	RC00002,RC00003,RC00334,RC01440	ko00000,ko00001,ko00002,ko01000,ko03016	-	-	-	YgbB,tRNA_m1G_MT
BDA39207.1	1527444.ucyna2_00772	1.48e-64	196.0	COG2127@1|root,COG2127@2|Bacteria,1G6M6@1117|Cyanobacteria	1117|Cyanobacteria	S	Involved in the modulation of the specificity of the ClpAP-mediated ATP-dependent protein degradation	clpS	-	-	ko:K06891	-	-	-	-	ko00000	-	-	-	ClpS
BDA39208.1	43989.cce_2239	1.21e-131	380.0	COG1266@1|root,COG1266@2|Bacteria,1G08W@1117|Cyanobacteria,3KG5S@43988|Cyanothece	1117|Cyanobacteria	S	Abortive infection protein	-	-	-	ko:K07052	-	-	-	-	ko00000	-	-	-	Abi
BDA39209.1	1527444.ucyna2_00580	0.0	1460.0	COG2217@1|root,COG2217@2|Bacteria,1G05S@1117|Cyanobacteria	1117|Cyanobacteria	P	P-type atpase	zntA	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	3.6.3.4	ko:K01533	-	-	R00086	RC00002	ko00000,ko01000	3.A.3.5	-	-	E1-E2_ATPase,HMA,Hydrolase
BDA39210.1	1527444.ucyna2_00579	1.15e-66	203.0	2D9VD@1|root,32TU1@2|Bacteria,1G800@1117|Cyanobacteria	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BDA39211.1	1527444.ucyna2_00578	1.67e-221	611.0	COG0470@1|root,COG0470@2|Bacteria,1G1VP@1117|Cyanobacteria	1117|Cyanobacteria	L	DNA polymerase III	holB	-	2.7.7.7	ko:K02341	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_delta2
BDA39212.1	1527444.ucyna2_00577	0.0	1449.0	COG0642@1|root,COG2205@2|Bacteria,1G0F7@1117|Cyanobacteria	1117|Cyanobacteria	T	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	cikA	-	2.7.13.3	ko:K11356	ko02020,map02020	-	-	-	ko00000,ko00001,ko01000,ko01001,ko02022	-	-	-	GAF,HATPase_c,HisKA,Response_reg
BDA39213.1	1527444.ucyna2_00576	0.0	2491.0	COG1429@1|root,COG1429@2|Bacteria,1G0XP@1117|Cyanobacteria	1117|Cyanobacteria	H	COG1429 Cobalamin biosynthesis protein CobN and related	cobN	-	6.6.1.2	ko:K02230	ko00860,ko01100,map00860,map01100	-	R05227	RC02000	ko00000,ko00001,ko01000	-	-	-	CobN-Mg_chel
