query_id,subject_id,percent_identity,alignment_length,mismatches,gap_openings,query_start,query_end,subject_start,subject_end,evalue,bit_score,query_length,subject_length,direction,coverage,normalized_bitscore
WP_009543155.1,BDA40250.1,69.9,186,55,1,2,186,5,190,4.72e-97,275.0,188,190,crocosphaera -> ucyna,0.9789473684210527,1.478494623655914
WP_009543154.1,BDA40249.1,84.2,196,31,0,1,196,20,215,1.52e-126,351.0,196,215,crocosphaera -> ucyna,0.9116279069767442,1.7908163265306123
WP_009543153.1,BDA40248.1,85.1,308,46,0,1,308,1,308,3.02e-207,563.0,308,308,crocosphaera -> ucyna,1.0,1.827922077922078
WP_009543144.1,BDA39681.1,75.2,274,68,0,1,274,1,274,1.3500000000000001e-155,430.0,276,276,crocosphaera -> ucyna,0.9927536231884058,1.5693430656934306
WP_009543143.1,BDA39682.1,74.8,815,196,2,1,813,1,808,0.0,1176.0,816,812,crocosphaera -> ucyna,0.9987745098039216,1.4429447852760737
WP_009543142.1,BDA39683.1,49.9,383,179,5,3,381,10,383,5.24e-113,331.0,385,388,crocosphaera -> ucyna,0.9871134020618557,0.8642297650130548
WP_009543135.1,BDA39833.1,73.2,157,42,0,18,174,6,162,2.41e-80,231.0,174,162,crocosphaera -> ucyna,0.9022988505747126,1.4713375796178343
WP_009543134.1,BDA40114.1,79.5,352,72,0,1,352,1,352,1.0399999999999999e-220,601.0,352,352,crocosphaera -> ucyna,1.0,1.7073863636363635
WP_009543133.1,BDA39893.1,24.8,214,128,6,221,432,10,192,1.11e-05,42.7,444,599,crocosphaera -> ucyna,0.3572621035058431,0.19953271028037384
WP_009543132.1,BDA39893.1,67.5,593,191,1,3,593,6,598,2.4100000000000002e-272,752.0,594,599,crocosphaera -> ucyna,0.989983305509182,1.2681281618887015
WP_009543131.1,BDA39209.1,23.1,672,348,20,93,742,200,724,6.1e-20,90.5,946,772,crocosphaera -> ucyna,0.7103594080338267,0.13467261904761904
WP_009543130.1,BDA39811.1,29.1,199,138,3,4,199,3,201,1.75e-18,75.5,201,207,crocosphaera -> ucyna,0.961352657004831,0.3793969849246231
WP_009543129.1,BDA40113.1,57.0,505,215,1,1,505,4,506,3.26e-189,536.0,537,520,crocosphaera -> ucyna,0.9404096834264432,1.0613861386138614
WP_009543128.1,BDA39186.1,79.2,96,20,0,1,96,1,96,8.61e-49,145.0,96,96,crocosphaera -> ucyna,1.0,1.5104166666666667
WP_009543126.1,BDA39572.1,40.7,297,176,0,3,299,4,300,1.83e-75,230.0,309,328,crocosphaera -> ucyna,0.9054878048780488,0.7744107744107744
WP_009543123.1,BDA39832.1,59.9,877,351,1,1,877,1,876,0.0,984.0,882,878,crocosphaera -> ucyna,0.9943310657596371,1.1220068415051312
WP_009543121.1,BDA39879.1,73.3,427,111,1,1,427,1,424,6.2600000000000005e-224,617.0,461,435,crocosphaera -> ucyna,0.9262472885032538,1.4449648711943794
WP_007307341.1,BDA39878.1,93.0,100,7,0,1,100,1,100,6.68e-66,189.0,100,100,crocosphaera -> ucyna,1.0,1.89
WP_024750176.1,BDA39877.1,71.0,193,56,0,1,193,1,193,2.65e-103,291.0,193,194,crocosphaera -> ucyna,0.9948453608247423,1.5077720207253886
WP_009543118.1,BDA40110.1,72.5,284,78,0,15,298,15,298,2e-147,411.0,298,298,crocosphaera -> ucyna,0.9530201342281879,1.4471830985915493
WP_009543117.1,BDA40111.1,67.4,135,44,0,45,179,1,135,2.12e-55,167.0,179,135,crocosphaera -> ucyna,0.7541899441340782,1.237037037037037
WP_009543114.1,BDA39660.1,76.2,181,35,2,1,181,1,173,1.57e-94,268.0,181,173,crocosphaera -> ucyna,1.0,1.4806629834254144
WP_024750178.1,BDA39675.1,25.4,268,192,5,29,290,92,357,1.11e-16,77.8,548,463,crocosphaera -> ucyna,0.48905109489051096,0.29029850746268654
WP_009543100.1,BDA39178.1,68.2,151,46,2,1,150,1,150,4.29e-65,191.0,150,150,crocosphaera -> ucyna,1.0066666666666666,1.2649006622516556
WP_009543099.1,BDA39177.1,77.6,232,52,0,1,232,1,232,1.37e-129,361.0,233,233,crocosphaera -> ucyna,0.9957081545064378,1.5560344827586208
WP_009543093.1,BDA39195.1,46.9,256,136,0,1,256,1,256,3.6899999999999997e-82,243.0,265,261,crocosphaera -> ucyna,0.9660377358490566,0.94921875
WP_009543092.1,BDA39196.1,78.4,750,162,0,1,750,1,750,0.0,1190.0,750,750,crocosphaera -> ucyna,1.0,1.5866666666666667
WP_009543091.1,BDA40008.1,57.9,763,320,1,1,763,1,762,4.18e-319,884.0,764,762,crocosphaera -> ucyna,0.9986910994764397,1.1585845347313237
WP_009543090.1,BDA39988.1,30.8,120,81,2,11,129,3,121,2.13e-15,70.1,325,246,crocosphaera -> ucyna,0.36923076923076925,0.5841666666666666
WP_009543086.1,BDA39562.1,71.0,69,20,0,1,69,1,69,2.42e-36,112.0,69,69,crocosphaera -> ucyna,1.0,1.6231884057971016
WP_009543082.1,BDA39826.1,59.9,327,130,1,1,326,1,327,7.66e-145,407.0,326,327,crocosphaera -> ucyna,1.0,1.2446483180428134
WP_009543081.1,BDA39825.1,78.0,277,61,0,13,289,6,282,2.3000000000000002e-157,436.0,290,284,crocosphaera -> ucyna,0.9551724137931035,1.5740072202166064
WP_009543079.1,BDA40253.1,21.1,227,164,6,149,365,108,329,1.46e-07,48.1,406,365,crocosphaera -> ucyna,0.5591133004926109,0.2118942731277533
WP_009543078.1,BDA39816.1,40.3,206,112,4,31,227,41,244,2.54e-43,142.0,227,244,crocosphaera -> ucyna,0.8442622950819673,0.6893203883495146
WP_009543077.1,BDA39618.1,47.4,57,30,0,1,57,1,57,3.01e-12,50.8,58,59,crocosphaera -> ucyna,0.9661016949152542,0.8912280701754386
WP_009543076.1,BDA39617.1,67.9,346,111,0,1,346,1,346,5.54e-171,475.0,350,351,crocosphaera -> ucyna,0.9857549857549858,1.3728323699421965
WP_024750183.1,BDA39668.1,32.6,141,74,7,55,185,374,503,2.67e-05,39.3,197,514,crocosphaera -> ucyna,0.27431906614785995,0.2787234042553191
WP_009543074.1,BDA39616.1,69.6,148,45,0,1,148,1,148,5.33e-81,231.0,154,151,crocosphaera -> ucyna,0.961038961038961,1.5608108108108107
WP_009543071.1,BDA39469.1,25.2,147,89,6,9,138,5,147,8.19e-05,38.1,262,238,crocosphaera -> ucyna,0.5610687022900763,0.25918367346938775
WP_009543070.1,BDA39739.1,85.8,211,30,0,1,211,1,211,1.8e-137,379.0,211,211,crocosphaera -> ucyna,1.0,1.7962085308056872
WP_009543069.1,BDA39740.1,89.7,78,8,0,1,78,37,114,2.89e-48,144.0,78,114,crocosphaera -> ucyna,0.6842105263157895,1.8461538461538463
WP_009543066.1,BDA40334.1,25.2,218,94,8,64,263,24,190,8.64e-07,44.3,309,216,crocosphaera -> ucyna,0.7055016181229773,0.20321100917431192
WP_009543064.1,BDA40207.1,30.3,122,75,3,42,157,37,154,3.77e-07,44.7,225,229,crocosphaera -> ucyna,0.5327510917030568,0.3663934426229508
WP_009543059.1,BDA39295.1,71.3,80,23,0,1,80,1,80,7.97e-41,125.0,81,96,crocosphaera -> ucyna,0.8333333333333334,1.5625
WP_009543057.1,BDA39209.1,26.4,239,128,4,561,792,534,731,1.86e-16,79.3,984,772,crocosphaera -> ucyna,0.24288617886178862,0.3317991631799163
WP_009543053.1,BDA39424.1,29.5,217,123,10,1,191,1,213,2.46e-15,70.5,292,330,crocosphaera -> ucyna,0.6575757575757576,0.3248847926267281
WP_009543051.1,BDA39993.1,60.6,391,154,0,1,391,1,391,3.09e-167,469.0,396,397,crocosphaera -> ucyna,0.9848866498740554,1.1994884910485935
WP_009543047.1,BDA39992.1,79.5,365,75,0,1,365,1,365,7.55e-223,608.0,365,366,crocosphaera -> ucyna,0.9972677595628415,1.6657534246575343
WP_243397365.1,BDA39212.1,32.7,336,199,7,125,436,300,632,1.04e-41,152.0,436,759,crocosphaera -> ucyna,0.4426877470355731,0.4523809523809524
WP_243397366.1,BDA40304.1,25.8,120,84,4,264,380,7,124,0.00019,37.7,381,232,crocosphaera -> ucyna,0.31496062992125984,0.3141666666666667
WP_024750185.1,BDA39991.1,85.1,429,64,0,5,433,10,438,8.52e-269,730.0,433,438,crocosphaera -> ucyna,0.9794520547945206,1.7016317016317015
WP_009543027.1,BDA39851.1,58.2,359,149,1,24,381,14,372,5.389999999999999e-152,429.0,382,376,crocosphaera -> ucyna,0.9397905759162304,1.1949860724233983
WP_243397410.1,BDA40323.1,28.2,259,171,3,259,515,631,876,1.9700000000000002e-26,108.0,517,885,crocosphaera -> ucyna,0.29265536723163843,0.416988416988417
WP_009546696.1,BDA40237.1,25.7,269,190,4,3,264,8,273,5.14e-22,90.1,319,333,crocosphaera -> ucyna,0.8078078078078078,0.3349442379182156
WP_009546697.1,BDA39467.1,82.4,358,63,0,1,358,1,358,5.03e-215,587.0,358,358,crocosphaera -> ucyna,1.0,1.6396648044692737
WP_009546698.1,BDA39348.1,23.0,326,243,4,27,351,19,337,6.57e-19,82.0,357,346,crocosphaera -> ucyna,0.9131652661064426,0.25153374233128833
WP_009546700.1,BDA39913.1,65.6,384,132,0,1,384,1,384,1.4100000000000001e-183,510.0,392,386,crocosphaera -> ucyna,0.9795918367346939,1.328125
WP_009546702.1,BDA39646.1,24.7,365,197,13,181,497,172,506,4.86e-15,73.6,637,638,crocosphaera -> ucyna,0.5721003134796239,0.20164383561643834
WP_009546706.1,BDA40091.1,76.6,346,81,0,1,346,1,346,5.0100000000000007e-200,548.0,346,347,crocosphaera -> ucyna,0.9971181556195965,1.583815028901734
WP_009546708.1,BDA39377.1,83.5,321,53,0,1,321,1,321,3.45e-205,560.0,324,324,crocosphaera -> ucyna,0.9907407407407407,1.7445482866043613
WP_009546714.1,BDA39760.1,93.6,202,13,0,1,202,1,202,2.14e-136,375.0,202,202,crocosphaera -> ucyna,1.0,1.8564356435643565
WP_009546716.1,BDA39756.1,91.4,338,27,1,1,336,1,338,4.55e-212,578.0,336,338,crocosphaera -> ucyna,1.0,1.7100591715976332
WP_009546717.1,BDA39212.1,32.9,359,212,8,312,654,365,710,9.04e-46,171.0,835,759,crocosphaera -> ucyna,0.429940119760479,0.4763231197771588
WP_009546719.1,BDA40222.1,37.5,256,146,4,4,258,8,250,4.2e-48,155.0,265,251,crocosphaera -> ucyna,0.9660377358490566,0.60546875
WP_009546720.1,BDA39690.1,74.4,133,33,1,1,133,1,132,1.77e-51,155.0,133,132,crocosphaera -> ucyna,1.0,1.1654135338345866
WP_009546721.1,BDA39691.1,74.6,185,47,0,1,185,1,185,6.83e-82,236.0,188,186,crocosphaera -> ucyna,0.9840425531914894,1.2756756756756757
WP_009546722.1,BDA39692.1,87.7,236,28,1,1,235,1,236,1.0100000000000001e-145,402.0,238,238,crocosphaera -> ucyna,0.9915966386554622,1.7033898305084745
WP_009546723.1,BDA39693.1,89.4,141,15,0,1,141,1,141,8.610000000000001e-86,243.0,141,141,crocosphaera -> ucyna,1.0,1.7234042553191489
WP_008277359.1,BDA39694.1,84.0,206,33,0,1,206,1,206,1.42e-127,353.0,206,206,crocosphaera -> ucyna,1.0,1.7135922330097086
WP_008277360.1,BDA39695.1,81.3,75,14,0,1,75,1,75,1.8799999999999998e-38,118.0,75,75,crocosphaera -> ucyna,1.0,1.5733333333333333
WP_008277364.1,BDA39696.1,82.9,76,13,0,1,76,31,106,3.6e-38,118.0,76,108,crocosphaera -> ucyna,0.7037037037037037,1.5526315789473684
WP_243397411.1,BDA39964.1,75.4,447,110,0,17,463,29,475,4.76e-244,670.0,466,475,crocosphaera -> ucyna,0.9410526315789474,1.4988814317673378
WP_009546735.1,BDA39771.1,64.0,456,164,0,1,456,1,456,5.61e-217,600.0,456,457,crocosphaera -> ucyna,0.9978118161925602,1.3157894736842106
WP_009546736.1,BDA40292.1,28.3,198,100,8,56,230,63,241,8.22e-08,48.1,315,326,crocosphaera -> ucyna,0.6073619631901841,0.24292929292929294
WP_009546737.1,BDA39925.1,27.8,176,105,5,198,368,192,350,4.57e-11,58.9,386,372,crocosphaera -> ucyna,0.45595854922279794,0.3346590909090909
WP_009546738.1,BDA39925.1,24.3,185,123,5,233,417,202,369,1.07e-05,42.4,417,372,crocosphaera -> ucyna,0.44364508393285373,0.22918918918918918
WP_009546739.1,BDA39498.1,26.3,338,201,10,462,773,15,330,3.11e-27,109.0,913,360,crocosphaera -> ucyna,0.3702081051478642,0.3224852071005917
WP_009546743.1,BDA40023.1,30.1,372,237,6,5,376,2,350,2.68e-43,154.0,543,377,crocosphaera -> ucyna,0.6850828729281768,0.41397849462365593
WP_009546745.1,BDA39893.1,83.4,598,99,0,1,598,1,598,0.0,935.0,599,599,crocosphaera -> ucyna,0.998330550918197,1.5635451505016722
WP_009546747.1,BDA39358.1,35.2,105,62,2,6,105,3,106,1.11e-11,60.1,344,308,crocosphaera -> ucyna,0.30523255813953487,0.5723809523809524
WP_009546748.1,BDA40253.1,32.0,181,102,6,206,381,194,358,3.18e-15,71.6,390,365,crocosphaera -> ucyna,0.4641025641025641,0.3955801104972375
WP_009546749.1,BDA39892.1,80.4,56,11,0,1,56,1,56,2.33e-30,96.7,56,66,crocosphaera -> ucyna,0.8484848484848485,1.7267857142857144
WP_009546751.1,BDA39891.1,63.3,491,170,5,1,486,12,497,1.64e-207,579.0,486,497,crocosphaera -> ucyna,0.9879275653923542,1.1792260692464358
WP_009546752.1,BDA40325.1,71.4,276,79,0,1,276,1,276,1.29e-146,407.0,276,276,crocosphaera -> ucyna,1.0,1.4746376811594204
WP_009546754.1,BDA39938.1,82.3,452,80,0,1,452,1,452,5.46e-278,754.0,452,452,crocosphaera -> ucyna,1.0,1.668141592920354
WP_012361326.1,BDA40199.1,73.8,42,11,0,19,60,1,42,3.45e-18,65.9,65,47,crocosphaera -> ucyna,0.6461538461538462,1.5690476190476192
WP_012361327.1,BDA40200.1,63.2,152,56,0,1,152,1,152,2.28e-66,194.0,154,152,crocosphaera -> ucyna,0.987012987012987,1.2763157894736843
WP_009546762.1,BDA39784.1,70.9,179,48,1,1,179,1,175,6.489999999999999e-89,254.0,182,181,crocosphaera -> ucyna,0.9835164835164835,1.4189944134078212
WP_009546769.1,BDA39491.1,75.7,391,94,1,1,390,1,391,1.03e-207,572.0,390,391,crocosphaera -> ucyna,1.0,1.462915601023018
WP_009546770.1,BDA39492.1,74.8,675,136,6,1,668,1,648,0.0,884.0,671,654,crocosphaera -> ucyna,1.0059612518628913,1.3096296296296297
WP_009546772.1,BDA40028.1,42.9,380,207,7,6,382,5,377,1.61e-93,281.0,388,400,crocosphaera -> ucyna,0.95,0.7394736842105263
WP_009546777.1,BDA39493.1,59.8,97,39,0,1,97,1,97,1.22e-35,112.0,98,97,crocosphaera -> ucyna,0.9897959183673469,1.1546391752577319
WP_009546778.1,BDA39494.1,87.9,173,21,0,1,173,1,173,5.17e-91,258.0,173,173,crocosphaera -> ucyna,1.0,1.4913294797687862
WP_009546779.1,BDA39495.1,73.5,264,67,1,14,274,16,279,2.31e-140,392.0,274,279,crocosphaera -> ucyna,0.946236559139785,1.4848484848484849
WP_009546780.1,BDA40169.1,67.0,455,132,3,1,453,1,439,2.37e-201,560.0,453,439,crocosphaera -> ucyna,1.0044150110375276,1.2307692307692308
WP_009546781.1,BDA40170.1,56.4,715,299,3,1,714,1,703,1.31e-287,800.0,722,704,crocosphaera -> ucyna,0.9903047091412742,1.118881118881119
WP_009546782.1,BDA40326.1,40.2,117,67,1,4,120,8,121,1.0800000000000001e-26,95.1,122,243,crocosphaera -> ucyna,0.48148148148148145,0.8128205128205128
WP_007307443.1,BDA40171.1,90.0,60,6,0,1,60,1,60,8.540000000000001e-33,102.0,60,60,crocosphaera -> ucyna,1.0,1.7
WP_009546783.1,BDA40172.1,45.6,728,386,6,1,720,1,726,5.680000000000001e-181,529.0,720,726,crocosphaera -> ucyna,1.002754820936639,0.7266483516483516
WP_009546784.1,BDA40173.1,81.9,343,62,0,1,343,1,343,1.0700000000000001e-213,583.0,343,343,crocosphaera -> ucyna,1.0,1.6997084548104957
WP_009546785.1,BDA39488.1,72.9,336,91,0,1,336,1,336,1.05e-178,494.0,347,337,crocosphaera -> ucyna,0.968299711815562,1.4702380952380953
WP_009546786.1,BDA39487.1,75.3,296,73,0,1,296,1,296,9.29e-165,455.0,298,299,crocosphaera -> ucyna,0.9899665551839465,1.537162162162162
WP_009546787.1,BDA39486.1,80.8,589,113,0,1,589,1,589,0.0,963.0,589,589,crocosphaera -> ucyna,1.0,1.634974533106961
WP_009546789.1,BDA40257.1,75.9,663,155,2,1,661,1,660,0.0,1005.0,689,661,crocosphaera -> ucyna,0.9622641509433962,1.5158371040723981
WP_008276531.1,BDA39988.1,95.9,246,10,0,1,246,1,246,3.53e-175,477.0,246,246,crocosphaera -> ucyna,1.0,1.9390243902439024
WP_009546790.1,BDA39987.1,58.0,553,229,2,4,554,4,555,1.4099999999999998e-240,668.0,554,555,crocosphaera -> ucyna,0.9963963963963964,1.2079566003616637
WP_243397412.1,BDA39491.1,34.2,231,136,6,9,231,6,228,6.56e-41,140.0,266,391,crocosphaera -> ucyna,0.5907928388746803,0.6060606060606061
WP_009546794.1,BDA40316.1,37.7,228,116,3,25,226,28,255,8e-39,143.0,669,396,crocosphaera -> ucyna,0.34080717488789236,0.6271929824561403
WP_009546799.1,BDA40095.1,77.5,276,62,0,378,653,4,279,1.1e-149,430.0,654,282,crocosphaera -> ucyna,0.42201834862385323,1.5579710144927537
WP_009546805.1,BDA40119.1,25.0,236,168,6,28,261,32,260,2.22e-12,61.2,297,261,crocosphaera -> ucyna,0.7946127946127947,0.2593220338983051
WP_009546807.1,BDA40207.1,71.6,229,65,0,1,229,1,229,1.46e-122,343.0,229,229,crocosphaera -> ucyna,1.0,1.497816593886463
WP_024750195.1,BDA40206.1,66.2,556,188,0,6,561,21,576,1.82e-274,755.0,561,576,crocosphaera -> ucyna,0.9652777777777778,1.3579136690647482
WP_009546810.1,BDA40205.1,64.4,104,34,1,1,104,1,101,2.9100000000000002e-37,117.0,107,101,crocosphaera -> ucyna,0.9719626168224299,1.125
WP_009546811.1,BDA39184.1,64.5,586,197,3,12,586,13,598,2.7400000000000003e-276,762.0,586,598,crocosphaera -> ucyna,0.979933110367893,1.3003412969283277
WP_009546812.1,BDA40076.1,32.3,99,60,3,6,100,7,102,2.03e-05,40.4,321,242,crocosphaera -> ucyna,0.308411214953271,0.40808080808080804
WP_009546819.1,BDA40094.1,66.0,806,273,1,8,812,8,813,0.0,1063.0,819,813,crocosphaera -> ucyna,0.9841269841269841,1.3188585607940446
WP_009546820.1,BDA39345.1,25.5,220,143,5,338,540,145,360,1.22e-14,72.0,592,600,crocosphaera -> ucyna,0.36666666666666664,0.32727272727272727
WP_009546825.1,BDA39661.1,69.0,126,39,0,1,126,1,126,1.72e-62,182.0,126,126,crocosphaera -> ucyna,1.0,1.4444444444444444
WP_024750198.1,BDA39662.1,59.1,257,100,2,6,257,5,261,2.5499999999999998e-95,276.0,257,261,crocosphaera -> ucyna,0.9846743295019157,1.0739299610894941
WP_009546827.1,BDA39663.1,91.7,386,32,0,1,386,1,386,2.7299999999999996e-268,724.0,387,387,crocosphaera -> ucyna,0.9974160206718347,1.8756476683937824
WP_009546828.1,BDA39664.1,56.0,414,180,2,1,413,1,413,1.01e-169,477.0,413,415,crocosphaera -> ucyna,0.9975903614457832,1.1521739130434783
WP_009546831.1,BDA39498.1,68.1,357,114,0,68,424,1,357,1.07e-197,546.0,427,360,crocosphaera -> ucyna,0.8360655737704918,1.5294117647058822
WP_009546832.1,BDA39499.1,84.2,278,44,0,1,278,1,278,2.08e-159,440.0,281,280,crocosphaera -> ucyna,0.9893238434163701,1.5827338129496402
WP_009546833.1,BDA39500.1,78.3,217,47,0,1,217,1,217,7.35e-121,338.0,219,222,crocosphaera -> ucyna,0.9774774774774775,1.5576036866359446
WP_009546450.1,BDA39872.1,51.2,1008,492,0,1,1008,1,1008,1.14e-320,907.0,1008,1008,crocosphaera -> ucyna,1.0,0.8998015873015873
WP_009546451.1,BDA39871.1,70.5,44,13,0,1,44,1,44,6.7e-17,62.0,48,54,crocosphaera -> ucyna,0.8148148148148148,1.4090909090909092
WP_009546455.1,BDA39870.1,73.3,561,149,1,1,561,1,560,1.21e-311,849.0,572,560,crocosphaera -> ucyna,0.9807692307692307,1.5133689839572193
WP_009546456.1,BDA39491.1,34.3,207,120,6,26,224,4,202,1.0800000000000001e-27,105.0,257,391,crocosphaera -> ucyna,0.5294117647058824,0.5072463768115942
WP_024750201.1,BDA39860.1,74.9,394,93,3,1,388,1,394,2.49e-206,568.0,388,394,crocosphaera -> ucyna,1.0,1.4416243654822336
WP_024750202.1,BDA40230.1,62.3,236,89,0,1,236,1,236,8.65e-114,322.0,242,241,crocosphaera -> ucyna,0.9752066115702479,1.3644067796610169
WP_009546463.1,BDA40229.1,63.3,713,261,1,1,713,1,712,0.0,944.0,719,723,crocosphaera -> ucyna,0.9861687413554634,1.3239831697054698
WP_009546464.1,BDA40228.1,56.5,591,250,3,4,589,4,592,1.85e-225,633.0,590,593,crocosphaera -> ucyna,0.9966273187183811,1.0710659898477157
WP_009546465.1,BDA40227.1,72.1,290,81,0,1,290,1,290,1.4e-155,431.0,291,290,crocosphaera -> ucyna,0.9965635738831615,1.486206896551724
WP_009546466.1,BDA40226.1,83.1,307,52,0,1,307,1,307,2.9099999999999997e-189,519.0,333,310,crocosphaera -> ucyna,0.9219219219219219,1.6905537459283388
WP_009546467.1,BDA40225.1,84.0,399,64,0,1,399,1,399,9.72e-262,709.0,402,399,crocosphaera -> ucyna,0.9925373134328358,1.7769423558897244
WP_009546470.1,BDA39339.1,68.8,500,156,0,1,500,1,500,2.4300000000000002e-272,744.0,502,504,crocosphaera -> ucyna,0.9920634920634921,1.488
WP_009546472.1,BDA39338.1,75.9,141,34,0,2,142,3,143,3.83e-76,218.0,142,143,crocosphaera -> ucyna,0.986013986013986,1.5460992907801419
WP_009546476.1,BDA39337.1,71.4,175,50,0,1,175,1,175,2.32e-89,255.0,180,184,crocosphaera -> ucyna,0.9510869565217391,1.457142857142857
WP_009546477.1,BDA39209.1,28.4,183,94,4,539,714,572,724,1.19e-13,70.1,913,772,crocosphaera -> ucyna,0.2004381161007667,0.3830601092896175
WP_009546478.1,BDA39336.1,84.3,230,36,0,1,230,1,230,7.13e-142,392.0,230,230,crocosphaera -> ucyna,1.0,1.7043478260869565
WP_009546479.1,BDA39335.1,80.0,454,91,0,1,454,1,454,8.39e-246,673.0,454,454,crocosphaera -> ucyna,1.0,1.4823788546255507
WP_009546488.1,BDA40097.1,56.2,89,37,2,1,88,1,88,9.1e-29,94.7,88,88,crocosphaera -> ucyna,1.0113636363636365,1.0640449438202249
WP_009546489.1,BDA39364.1,81.2,437,82,0,1,437,1,437,3.59e-259,706.0,439,443,crocosphaera -> ucyna,0.9864559819413092,1.6155606407322654
WP_009546490.1,BDA39363.1,61.6,258,99,0,1,258,1,258,5.8800000000000004e-117,331.0,262,261,crocosphaera -> ucyna,0.9847328244274809,1.2829457364341086
WP_009546493.1,BDA40112.1,23.6,191,118,6,8,180,9,189,8.94e-06,42.0,297,473,crocosphaera -> ucyna,0.40380549682875266,0.2198952879581152
WP_009546495.1,BDA39485.1,69.1,444,137,0,5,448,3,446,4.879999999999999e-225,620.0,448,446,crocosphaera -> ucyna,0.9910714285714286,1.3963963963963963
WP_012361362.1,BDA39722.1,35.6,90,55,2,18,106,12,99,5.06e-13,64.3,316,396,crocosphaera -> ucyna,0.22727272727272727,0.7144444444444444
WP_243397372.1,BDA40303.1,49.9,437,219,0,53,489,53,489,1.86e-107,324.0,491,497,crocosphaera -> ucyna,0.8792756539235412,0.7414187643020596
WP_009546502.1,BDA40323.1,26.0,808,455,14,264,1040,186,881,9.739999999999999e-68,240.0,1041,885,crocosphaera -> ucyna,0.7761767531219981,0.297029702970297
WP_009546509.1,BDA40041.1,46.3,41,22,0,1,41,1,41,4.35e-10,47.0,64,118,crocosphaera -> ucyna,0.3474576271186441,1.146341463414634
WP_009546510.1,BDA40165.1,82.4,517,91,0,1,517,1,517,1.55e-311,845.0,519,519,crocosphaera -> ucyna,0.9961464354527938,1.6344294003868471
WP_024750203.1,BDA40082.1,28.6,77,52,2,12,85,24,100,0.000384,33.5,104,387,crocosphaera -> ucyna,0.19896640826873385,0.43506493506493504
WP_009546515.1,BDA39522.1,33.3,177,102,9,11,177,7,177,3.68e-20,85.5,344,349,crocosphaera -> ucyna,0.5071633237822349,0.4830508474576271
WP_009546517.1,BDA40166.1,72.4,156,43,0,2,157,3,158,2.65e-81,233.0,157,158,crocosphaera -> ucyna,0.9873417721518988,1.4935897435897436
WP_009546518.1,BDA40167.1,55.8,120,46,2,1,116,1,117,1.98e-39,124.0,119,118,crocosphaera -> ucyna,1.0084033613445378,1.0333333333333334
WP_009546521.1,BDA39817.1,71.6,81,23,0,43,123,3,83,1.4e-40,126.0,132,83,crocosphaera -> ucyna,0.6136363636363636,1.5555555555555556
WP_009546523.1,BDA40082.1,35.7,70,43,2,170,238,23,91,0.000439,36.2,253,387,crocosphaera -> ucyna,0.18087855297157623,0.5171428571428572
WP_009546526.1,BDA39818.1,72.6,361,99,0,1,361,1,361,1.43e-197,543.0,361,361,crocosphaera -> ucyna,1.0,1.5041551246537397
WP_009546528.1,BDA40318.1,62.0,295,109,1,21,312,4,298,7.42e-129,365.0,315,301,crocosphaera -> ucyna,0.9365079365079365,1.2372881355932204
WP_009546529.1,BDA40072.1,56.3,224,94,2,1,220,1,224,5.550000000000001e-85,248.0,242,237,crocosphaera -> ucyna,0.9256198347107438,1.1071428571428572
